boat_COG	boat_heading	boat_lat	boat_lon	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon
nan	125.840150512	61.077845	-146.568595	2018-07-24 23:35:33	nan	nan	nan	nan
nan	124.216733306	61.077845	-146.568601667	2018-07-24 23:35:38	nan	nan	nan	nan
nan	124.956367155	61.077845	-146.568595	2018-07-24 23:35:43	nan	nan	nan	nan
nan	125.002906249	61.077841667	-146.568588333	2018-07-24 23:35:48	nan	nan	nan	nan
nan	124.227362546	61.077841667	-146.568578333	2018-07-24 23:35:53	nan	nan	nan	nan
nan	124.912827828	61.077835	-146.568565	2018-07-24 23:35:58	nan	nan	nan	nan
nan	124.097363049	61.07783	-146.56855	2018-07-24 23:36:03	nan	nan	nan	nan
nan	122.863063809	61.07783	-146.568545	2018-07-24 23:36:09	nan	nan	nan	nan
nan	122.03921637	61.077831667	-146.568546667	2018-07-24 23:36:14	nan	nan	nan	nan
nan	122.537235214	61.077833333	-146.568545	2018-07-24 23:36:19	nan	nan	nan	nan
