boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed
229.7	2.92679279104	60.86862	-147.384331667	0.108	2018-07-26 12:36:34	nan	nan	nan	nan	nan
273.66	4.06296819074	60.86862	-147.384346667	0.237	2018-07-26 12:36:39	nan	nan	nan	nan	nan
272.44	4.98452180175	60.86862	-147.384368333	0.273	2018-07-26 12:36:44	nan	nan	nan	nan	nan
261.68	6.73793881409	60.868616667	-147.384391667	0.314	2018-07-26 12:36:49	nan	nan	nan	nan	nan
247.6	6.47683877725	60.86859	-147.384406667	0.278	2018-07-26 12:36:54	nan	nan	nan	nan	nan
261.08	2.81524740541	60.86858	-147.384445	0.309	2018-07-26 12:36:59	nan	nan	nan	nan	nan
256.29	3.41705527647	60.868573333	-147.384466667	0.231	2018-07-26 12:37:04	nan	nan	nan	nan	nan
227.7	5.30394827798	60.86857	-147.384486667	0.257	2018-07-26 12:37:09	nan	nan	nan	nan	nan
199.03	7.68844987455	60.868561667	-147.384501667	0.18	2018-07-26 12:37:14	nan	nan	nan	nan	nan
189.14	6.15722658737	60.868553333	-147.384503333	0.252	2018-07-26 12:37:19	nan	nan	nan	nan	nan
235.1	3.69676919453	60.868543333	-147.384513333	0.252	2018-07-26 12:37:24	nan	nan	nan	nan	nan
238.58	3.21279633534	60.868536667	-147.38453	0.211	2018-07-26 12:37:29	nan	nan	nan	nan	nan
244.73	3.95056943712	60.868526667	-147.384563333	0.288	2018-07-26 12:37:34	nan	nan	nan	nan	nan
237.42	7.72828366678	60.868493333	-147.384618333	0.489	2018-07-26 12:37:39	nan	nan	nan	nan	nan
214.84	5.76507135606	60.868476667	-147.38464	0.242	2018-07-26 12:37:44	nan	nan	nan	nan	nan
96.79	5.56859202883	60.868475	-147.384601667	0.432	2018-07-26 12:37:49	nan	nan	nan	nan	nan
95.68	3.57879423954	60.868466667	-147.384543333	0.612	2018-07-26 12:37:54	nan	nan	nan	nan	nan
89.86	4.51632841377	60.868458333	-147.384455	0.921	2018-07-26 12:37:59	nan	nan	nan	nan	nan
85.42	3.94211187138	60.868461667	-147.38435	1.127	2018-07-26 12:38:04	nan	nan	nan	nan	nan
81.02	3.72510198284	60.868466667	-147.384245	1.255	2018-07-26 12:38:09	nan	nan	nan	nan	nan
76.42	5.319724416	60.868475	-147.384125	1.42	2018-07-26 12:38:14	nan	nan	nan	nan	nan
75.37	4.66255556115	60.868483333	-147.383985	1.574	2018-07-26 12:38:19	nan	nan	nan	nan	nan
78.9	3.22565484791	60.868506667	-147.383811667	1.765	2018-07-26 12:38:24	nan	nan	nan	nan	nan
